"sensor_index","name","latitude","longitude"
"265689","CBE24","37.731792","-122.19073"
"266811","CBE38","37.72728","-122.18157"
"266840","CBE46","37.739067","-122.1748"
"267293","CBE28","37.72791","-122.18439"
"267541","CBE08","37.726463","-122.18206"
"267699","CBE10","37.742733","-122.17396"
"41399","Stonehurst","37.7404","-122.17176"
"77621","2300 Davis St","37.71618","-122.18827"
"87307","Ashoka 1","37.738663","-122.163445"
"112478","Stoakes Ave","37.73171","-122.16329"
"176699","Gate 510","37.717243","-122.17996"
"254813","East Oakland Rose Monitor","37.73012","-122.18621"
